family,genus,species,error,quality,comment
Nymphalidae,Clossiana,erubescens,0.000919392,very good,
Nymphalidae,Chazara,heydenreichi,0.00157534,very good,
Hesperiidae,Pelopidas,mathias,0.00167516,excellent,
Nymphalidae,Pseudochazara,droshica,0.00211678,very good,
Hesperiidae,Notocrypta,feisthamelii,0.00216427,very good,
Nymphalidae,Karanasa,alpherakyi,0.00220382,normal,
Nymphalidae,Karanasa,astorica,0.00220419,very good,
Nymphalidae,Karanasa,huebneri,0.00227628,very good,
Nymphalidae,Satyrus,alaicus,0.00233107,very good,
Nymphalidae,Pseudochazara,annieae,0.00235946,excellent,
Nymphalidae,Paroeneis,pumilus,0.00249113,very good,
Nymphalidae,Karanasa,leechi,0.00249141,very good,
Pieridae,Catopsilia,pomona,0.00250381,very good,
Nymphalidae,Kanetisa,digna,0.00256071,very good,
Pieridae,Gonepteryx,mahaguru,0.00268928,bad,
Hesperiidae,Suastus,gremius,0.00292257,very good,
Nymphalidae,Karanasa,bolorica,0.00307523,excellent,
Nymphalidae,Karanasa,pupilata,0.00311927,normal,
Pieridae,Colotis,danae,0.00320823,normal,
Pieridae,Colotis,protractus,0.00322063,excellent,
Nymphalidae,Aulocera,saraswati,0.00334149,normal,
Pieridae,Pontia,dplidice,0.00337285,excellent,
Pieridae,Gonepteryx,chitralensis,0.00347071,normal,
Hesperiidae,Udaspes ,folus,0.0035747,unacceptable,species has no occurences in Pakistan
Lycaenidae,Celastrina,huegelii,0.0035747,good,
Lycaenidae,Celastrina,gigas,0.0035747,normal,same map as for Celastrina_huegelii. Mistake?
Lycaenidae,Turanana,laspura,0.0035747,good,
Lycaenidae,Turanana,kotzschiorum,0.0035747,normal,
Lycaenidae,Turanana,chitrali,0.0035747,excellent,
Lycaenidae,Pseudophilotes,vicrama,0.0035747,normal,
Lycaenidae,Rapala,manea,0.00388197,excellent,check taxonomy (tribe)!
Pieridae,Delias,belladonna,0.00390615,good,
Hesperiidae,Gegenes,pumillo,0.00394032,bad,
Pieridae,Pontia,chloridice,0.0040258,excellent,
Nymphalidae,Karanasa,cadesia,0.00405659,unacceptable,
Hesperiidae,Borbo,bevani,0.00412734,good,
Lycaenidae,Iraota,timoleon,0.00413051,good,check taxonomy (tribe)!
Pieridae,Pieris,canidia,0.0044148,unacceptable,"not clear if map shows distribution of species canidia or subspecies indica, therefore not defined in attribute table"
Riodinidae,Dodona,eugenes,0.00450622,very good,
Nymphalidae,Karanasa,moorei,0.00454239,bad,
Nymphalidae,Pseudochazara,lehana,0.00467136,very good,
Pieridae,Pareronia,anais,0.0046798,normal,
Lycaenidae,Rapala,nissa,0.00471211,good,check taxonomy (tribe)!
Nymphalidae,Argynnis,aglaja,0.00475068,normal,
Nymphalidae,Calinaga,buddha,0.00478024,good,
Nymphalidae,Sephisa,dichroa,0.00488125,bad,
Papilionidae,Chilasa,clytia,0.00525254,good,
Lycaenidae,Chilades,trochylus,0.00535396,normal,
Pieridae,Pieris,ajaka,0.00550408,bad,
Hesperiidae,Actinor,radians,0.00560054,bad,
Nymphalidae,Acraea,issoria,0.00566139,good,
Nymphalidae,Chazara,enervata,0.00569867,normal,
Nymphalidae,Karanasa,mohsenii,0.00578411,good,
Nymphalidae,Karanasa,modesta,0.00580041,unacceptable,
Hesperiidae,Pelopidas,sinensis,0.00582039,very good,
